PlateID,SampleID,Target,Well,Channel700,Channel800
GED-PLA-00000002,GED-SAM-00000120,EMPTY,B12,744.7553711,66.36492157
GED-PLA-00000002,GED-SAM-00000121,EMPTY,C01,712.0908203,75.93984985
GED-PLA-00000002,GED-SAM-00000122,STAT3.4,C02,1718.313965,167.175293
GED-PLA-00000002,GED-SAM-00000123,STAT3.4,C03,5235.925781,109.1228027
GED-PLA-00000002,GED-SAM-00000124,STAT3.4,C04,4624.456543,463.1503601
GED-PLA-00000002,GED-SAM-00000125,STAT3.4,C05,1320.979492,105.3529053
GED-PLA-00000002,GED-SAM-00000126,STAT3.4,C06,2420.459473,87.49490356
GED-PLA-00000002,GED-SAM-00000127,STAT3.4,C07,6705.546875,648.8995361
GED-PLA-00000002,GED-SAM-00000128,STAT3.4,C08,7515.894531,726.5700684
GED-PLA-00000002,GED-SAM-00000129,STAT3.4,C09,2604.616211,245.8624878
GED-PLA-00000002,GED-SAM-00000130,STAT3.4,C10,2404.849609,84.38601685
GED-PLA-00000002,GED-SAM-00000131,STAT3.4,C11,4471.89209,393.9256592
GED-PLA-00000002,GED-SAM-00000132,EMPTY,C12,750.4667969,67.08375549
GED-PLA-00000002,GED-SAM-00000133,EMPTY,D01,721.7592773,81.47860718
GED-PLA-00000002,GED-SAM-00000134,STAT3.4,D02,3817.962402,226.7948608
GED-PLA-00000002,GED-SAM-00000135,STAT3.4,D03,5547.125,105.4326172
GED-PLA-00000002,GED-SAM-00000136,STAT3.4,D04,4272.446289,98.06713867
GED-PLA-00000002,GED-SAM-00000137,STAT3.4,D05,3894.975586,309.7095337
GED-PLA-00000002,GED-SAM-00000138,STAT3.4,D06,5728.04541,297.1822815
GED-PLA-00000002,GED-SAM-00000139,STAT3.4,D07,3051.993164,300.5266113
GED-PLA-00000002,GED-SAM-00000140,STAT3.4,D08,8716.149414,432.0201416
GED-PLA-00000002,GED-SAM-00000141,STAT3.4,D09,8409.779297,137.8449402
GED-PLA-00000002,GED-SAM-00000142,STAT3.4,D10,3898.505371,343.0245667
GED-PLA-00000002,GED-SAM-00000143,STAT3.4,D11,6599.480469,489.0471191
GED-PLA-00000002,GED-SAM-00000144,EMPTY,D12,776.6054688,67.11154175
GED-PLA-00000002,GED-SAM-00000145,EMPTY,E01,730.9179688,78.1182251
GED-PLA-00000002,GED-SAM-00000146,STAT3.4,E02,6076.220215,110.4047546
GED-PLA-00000002,GED-SAM-00000147,STAT3.4,E03,5924.937012,615.9173584
GED-PLA-00000002,GED-SAM-00000148,STAT3.4,E04,6286.585938,115.7427673
GED-PLA-00000002,GED-SAM-00000149,STAT3.4,E05,2371.679199,212.6734467
GED-PLA-00000002,GED-SAM-00000150,STAT3.4,E06,4386.996582,445.9825745
GED-PLA-00000002,GED-SAM-00000151,STAT3.4,E07,4918.979004,99.92132568
GED-PLA-00000002,GED-SAM-00000152,STAT3.4,E08,4703.138672,255.2430725
GED-PLA-00000002,GED-SAM-00000153,STAT3.4,E09,4895.292969,454.26474
GED-PLA-00000002,GED-SAM-00000154,STAT3.4,E10,5756.736328,482.3592224
GED-PLA-00000002,GED-SAM-00000155,STAT3.4,E11,5649.390137,104.8489075
GED-PLA-00000002,GED-SAM-00000156,EMPTY,E12,775.2104492,70.61657715
GED-PLA-00000002,GED-SAM-00000157,EMPTY,F01,746.175293,78.49243164
GED-PLA-00000002,GED-SAM-00000158,STAT3.4,F02,5280.662109,112.5236816
GED-PLA-00000002,GED-SAM-00000159,STAT3.4,F03,7518.836914,830.5946045
GED-PLA-00000002,GED-SAM-00000160,STAT3.4,F04,4021.802246,109.28125
GED-PLA-00000002,GED-SAM-00000161,STAT3.4,F05,16039.33594,1414.15332
GED-PLA-00000002,GED-SAM-00000162,STAT3.4,F06,8681.177734,869.1113281
GED-PLA-00000002,GED-SAM-00000163,STAT3.4,F07,3186.351563,302.8637695
GED-PLA-00000002,GED-SAM-00000164,STAT3.4,F08,6287.172852,113.8006592
GED-PLA-00000002,GED-SAM-00000165,STAT3.4,F09,5155.671387,547.3070068
GED-PLA-00000002,GED-SAM-00000166,STAT3.4,F10,4353.868164,104.299469
GED-PLA-00000002,GED-SAM-00000167,STAT3.4,F11,2321.960938,191.4494934
GED-PLA-00000002,GED-SAM-00000168,EMPTY,F12,764.1176758,67.31982422
GED-PLA-00000002,GED-SAM-00000169,EMPTY,G01,767.0854492,79.02856445
GED-PLA-00000002,GED-SAM-00000170,STAT3.4,G02,7824.148926,125.7782288
GED-PLA-00000002,GED-SAM-00000171,STAT3.4,G03,1295.607422,87.04011536
GED-PLA-00000002,GED-SAM-00000172,STAT3.4,G04,6914.757813,645.7984619
GED-PLA-00000002,GED-SAM-00000173,STAT3.4,G05,7211.396484,126.7524109
GED-PLA-00000002,GED-SAM-00000174,STAT3.4,G06,7830.503418,131.8865967
GED-PLA-00000002,GED-SAM-00000175,STAT3.4,G07,2253.858887,244.3829346
GED-PLA-00000002,GED-SAM-00000176,STAT3.4,G08,6660.594238,126.2322083
GED-PLA-00000002,GED-SAM-00000177,STAT3.4,G09,7041.40625,598.7809448
GED-PLA-00000002,GED-SAM-00000178,STAT3.4,G10,5223.194824,112.6848145
GED-PLA-00000002,GED-SAM-00000179,STAT3.4,G11,5939.847168,372.8526306
GED-PLA-00000002,GED-SAM-00000180,EMPTY,G12,801.1713867,73.01077271
GED-PLA-00000002,GED-SAM-00000181,EMPTY,H01,1034.617188,136.7668152
GED-PLA-00000002,GED-SAM-00000182,EMPTY,H02,864.7280273,89.15570068
