PlateID,SampleID,Target,Well,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93
GED-PLA-00000001,GED-SAM-00000041,STAT3.3,D05,18.51537,18.41468,18.49178,19.57635,20.37784,20.76966,21.59473,22.04352,23.08531,23.58466,24.29947,25.00262,26.17948,27.3785,27.87141,28.13346,29.55955,31.08623,31.9195,32.15155,34.13265,34.4447,36.20595,37.73496,38.11087,39.3463,39.60616,41.4226,42.42037,43.81509,44.78207,46.61709
GED-PLA-00000001,GED-SAM-00000042,STAT3.3,D06,41.34495,43.28378,45.36417,46.66758,48.59203,49.89643,51.77372,52.76212,54.16463,57.76514,57.52606,60.21613,62.6546,65.13554,67.20288,69.63532,72.13679,73.70713,75.90277,77.62579,79.62248,79.51806,82.20655,84.76465,84.48976,87.28356,87.08113,89.07859,89.91148,91.4677,92.18079,92.41688
GED-PLA-00000001,GED-SAM-00000043,STAT3.3,D07,23.05708,23.33508,24.41257,25.21879,26.13067,26.16384,27.53197,28.05875,29.7159,30.63775,31.2844,33.3466,34.40106,35.68955,36.9782,38.49589,40.0829,41.96277,44.24655,45.11228,46.89159,48.4793,50.32312,51.05143,53.71157,55.65371,57.71135,59.75069,61.0553,64.21378,66.19287,66.6306
GED-PLA-00000001,GED-SAM-00000044,STAT3.3,D08,45.10981,46.2177,47.74215,49.1228,51.38101,53.35807,54.48923,56.98273,58.5734,62.71646,64.11958,66.12663,69.29164,70.09201,73.95478,76.50838,78.24575,80.56053,82.56901,85.07363,86.79685,88.84858,89.57874,90.95549,93.15878,93.93941,94.25658,95.20216,95.73131,95.98715,96.52268,96.84193
GED-PLA-00000001,GED-SAM-00000045,STAT3.3,D09,37.63953,39.15237,40.35876,42.31463,42.50548,43.5519,44.3843,46.82508,47.71105,50.43835,51.17284,52.099,55.18715,56.64279,57.00229,59.2234,60.7606,62.44294,62.47452,64.679,66.18153,67.83606,67.52792,67.76845,71.09371,72.29852,73.48946,75.21044,74.788,75.96531,77.85568,78.06569
GED-PLA-00000001,GED-SAM-00000046,STAT3.3,D10,47.10815,48.41392,50.58835,52.72184,54.65615,56.86467,58.41786,60.43854,62.32085,64.16596,66.46066,68.41013,70.26605,72.89362,74.9506,76.00681,78.24811,79.53624,81.20276,82.71645,84.4465,85.16409,86.82588,88.25005,89.8449,90.64709,91.87955,92.75173,94.16085,94.30933,95.21705,95.56597
GED-PLA-00000001,GED-SAM-00000047,STAT3.3,D11,23.85002,24.73588,25.62231,26.22279,26.53253,28.06068,29.04273,29.70186,30.76336,32.03017,33.17272,33.38684,34.35455,35.54167,37.27471,37.86003,39.71859,40.01217,42.10758,43.72229,45.25987,45.43607,46.96337,47.73619,49.23216,49.79302,51.24903,51.4139,52.75378,53.45027,55.69002,55.83613
GED-PLA-00000001,GED-SAM-00000050,STAT3.3,E02,27.97755,28.55101,29.02068,30.0342,30.87807,31.8946,32.98625,33.71104,34.82856,36.0639,36.82471,38.513,39.64179,41.31284,43.10384,43.56906,45.26726,46.24308,47.81016,49.03411,50.35618,51.24285,52.48734,54.0843,55.67749,57.16821,58.53983,59.48876,61.76461,62.25155,63.74511,65.05128
GED-PLA-00000001,GED-SAM-00000051,STAT3.3,E03,19.1291,19.13735,19.29504,19.68479,21.27267,20.75285,20.9613,21.51146,23.17048,22.51011,24.10748,25.00568,25.32036,26.03993,27.90621,26.81898,28.01354,28.87133,30.40005,30.5337,31.94977,32.4357,33.04935,33.91484,35.31508,36.72388,35.78273,37.24457,37.83206,40.25404,39.13207,40.23735
GED-PLA-00000001,GED-SAM-00000052,STAT3.3,E04,12.06169,11.835,12.11203,12.42128,12.22756,12.50945,12.34572,12.51232,12.6912,12.98498,13.65957,13.49636,13.86388,13.68857,13.53816,13.45033,13.86283,14.16943,14.48954,15.67137,14.70615,14.98757,15.45498,15.37614,15.54285,15.66786,16.04008,16.28177,16.39039,16.66305,16.78984,16.77265
GED-PLA-00000001,GED-SAM-00000053,STAT3.3,E05,45.15077,45.19046,45.92987,46.60844,46.8844,47.46768,48.00216,48.63436,48.59894,48.25529,49.41574,49.40593,50.11609,50.86877,50.80143,51.35547,51.99583,52.62024,52.69598,52.99129,54.12117,54.54653,55.58667,56.74598,56.52319,57.08839,58.40453,58.16203,59.67877,60.53472,60.86218,61.43337
GED-PLA-00000001,GED-SAM-00000054,STAT3.3,E06,62.1045,62.52789,63.96742,64.68704,65.02926,66.1937,66.43264,67.46423,67.87097,68.65401,69.65055,71.55286,72.53268,72.88004,74.51295,76.21365,77.79501,79.1232,80.20749,81.13897,82.6132,83.592,85.14435,85.89344,86.74846,87.9069,88.77127,89.8137,90.48095,91.21182,91.8783,92.17146
GED-PLA-00000001,GED-SAM-00000055,STAT3.3,E07,14.02674,13.87578,14.30732,14.43242,14.93474,15.25111,15.49545,16.69212,16.38107,16.82278,16.76001,17.54226,17.98314,18.38222,18.98982,19.18967,19.94243,19.63454,20.78447,20.9256,20.93414,21.83764,22.38054,22.21006,23.0308,23.64642,24.32754,24.71985,25.04519,25.27838,26.18511,25.92175
GED-PLA-00000001,GED-SAM-00000056,STAT3.3,E08,21.90341,22.29547,22.70131,23.2944,23.82141,24.46255,24.78716,25.69069,26.34796,26.95391,27.66964,27.75667,28.87029,29.13967,30.10526,31.41195,32.47198,32.82205,33.44175,33.9312,35.80917,35.98745,36.86289,38.08508,38.38871,39.50291,40.28148,41.60753,41.83557,42.10002,43.72429,44.76034
GED-PLA-00000001,GED-SAM-00000057,STAT3.3,E09,33.18367,34.569,35.27486,37.23862,38.54268,39.9505,41.28677,42.58142,43.89918,45.09671,47.04252,47.91326,50.21424,51.32531,53.47198,55.61977,57.37183,58.56954,60.80616,62.34284,64.1128,66.79273,68.0143,69.69901,71.47765,72.9131,75.33296,76.92397,77.44505,79.87749,81.31317,82.42683
GED-PLA-00000001,GED-SAM-00000058,STAT3.3,E10,32.10981,32.8003,33.69318,34.49133,35.56688,36.65997,37.94139,39.48078,40.30462,41.54209,43.46003,44.55754,45.71242,47.92363,49.10524,50.43579,51.98867,53.64806,54.59297,55.88099,57.36732,59.09241,60.55148,61.88291,64.04122,65.27202,66.08846,67.89594,69.15232,70.74168,72.07516,72.92792
GED-PLA-00000001,GED-SAM-00000059,STAT3.3,E11,20.92729,22.03464,22.45613,23.68982,24.2383,25.39867,26.54376,27.95702,29.1583,29.82992,31.29562,32.72683,33.75856,34.86922,36.45878,37.02898,38.99773,40.73259,41.84653,43.90165,45.07644,46.78972,48.27682,50.20168,51.46461,53.29102,54.47419,55.71653,57.92213,59.46503,60.80999,62.68377
GED-PLA-00000001,GED-SAM-00000062,STAT3.3,F02,10.28071,10.05919,10.11455,10.11949,10.12583,10.77537,10.97326,10.58817,11.36261,10.32758,11.1238,11.25145,11.42354,11.72789,11.92092,11.74827,11.85084,12.37004,12.98833,12.7346,12.92204,13.37389,13.46489,13.79507,14.05587,13.9392,14.42407,14.63799,14.65104,14.79163,15.59629,15.04201
GED-PLA-00000001,GED-SAM-00000063,STAT3.3,F03,10.94887,10.85388,11.04633,11.27779,11.43031,11.44989,11.82263,11.54716,11.83757,12.10865,12.50197,12.41931,12.81027,13.483,13.33956,14.17203,14.08357,14.73285,14.3009,15.32135,15.33684,16.15502,16.38335,16.86342,17.28235,17.8755,17.69756,18.38367,18.59916,19.85434,19.16259,19.75169
GED-PLA-00000001,GED-SAM-00000064,STAT3.3,F04,74.54933,77.2769,79.66501,82.42542,84.79875,87.40593,89.16077,91.87522,93.73991,95.31264,97.1601,98.298,98.93459,99.09062,99.37624,99.68266,99.66732,99.78373,99.8122,99.70394,99.84971,99.94214,99.92288,99.9285,99.89783,99.96439,99.95757,99.97409,99.97734,99.98363,99.97598,99.95917
GED-PLA-00000001,GED-SAM-00000065,STAT3.3,F05,43.33054,44.76517,46.18623,47.99276,50.75891,52.22805,54.93471,57.07224,58.94397,61.99292,64.35118,67.10949,69.57705,72.36891,74.11546,76.65688,79.20525,80.91679,83.26684,84.80982,86.75683,87.42178,89.90403,91.34365,92.35982,93.19384,94.20368,95.05438,95.25266,96.54727,96.81451,97.51785
GED-PLA-00000001,GED-SAM-00000066,STAT3.3,F06,6.626686,6.779056,6.80053,6.901793,7.108714,7.222607,7.398249,7.511539,7.573673,7.698201,7.908662,8.191707,8.504812,8.374624,8.491599,8.728617,9.417915,9.676558,9.758307,10.02544,10.16604,10.40496,10.46967,11.12489,11.45323,11.92244,11.97824,12.32863,12.76003,12.68806,12.77215,13.78947
